epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7422696352005005,0.8403169512748718,0.47608667612075806,0.5671738386154175,0.579842209815979,3.1747255325317383
1,0.7654712796211243,0.8658692836761475,0.4402906894683838,0.5678878426551819,0.5721440315246582,4.280804634094238
2,0.7715732455253601,0.8724281787872314,0.4300953149795532,0.5690819621086121,0.5725606679916382,3.9594192504882812
3,0.7756620049476624,0.8765947222709656,0.4235125184059143,0.5726765990257263,0.5811344981193542,3.7458252906799316
4,0.77818763256073,0.8792223930358887,0.419342041015625,0.5690081119537354,0.5797712802886963,4.0100555419921875
5,0.7804173231124878,0.8815173506736755,0.4155949354171753,0.5697754621505737,0.5739642977714539,5.017049789428711
6,0.7851343154907227,0.8864107728004456,0.4071853458881378,0.5724057555198669,0.5744184851646423,4.9095964431762695
7,0.7863720655441284,0.8875218033790588,0.40535345673561096,0.5685854554176331,0.5702864527702332,6.447229385375977
8,0.7873435616493225,0.8883768320083618,0.4038618505001068,0.5699477791786194,0.5722455978393555,5.347481727600098
9,0.7877570390701294,0.8889397382736206,0.40287691354751587,0.5700914263725281,0.5725150108337402,6.181262016296387
10,0.7884910106658936,0.8895936012268066,0.40175682306289673,0.5686880350112915,0.5696425437927246,5.645340919494629
11,0.790883481502533,0.8919242024421692,0.39761775732040405,0.5706371665000916,0.5724738836288452,6.387334823608398
12,0.7917450666427612,0.8926171660423279,0.39650073647499084,0.5688111186027527,0.5703644156455994,6.673656940460205
13,0.7918827533721924,0.8928666114807129,0.39595574140548706,0.5698739290237427,0.5720477104187012,7.380671977996826
14,0.7922912240028381,0.8932383060455322,0.39530280232429504,0.5695744156837463,0.5694352984428406,7.744620323181152
