epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.616032600402832,0.650098979473114,0.664067804813385,0.17892156541347504,0.2216004580259323,1.182039499282837
1,0.6733695864677429,0.7218455672264099,0.6324235200881958,0.17524509131908417,0.19050665199756622,1.693474292755127
2,0.701222836971283,0.7550743818283081,0.6104300022125244,0.1825980395078659,0.21002890169620514,1.5482302904129028
3,0.705570638179779,0.7609744668006897,0.5986421704292297,0.1764705926179886,0.2026444375514984,2.272266387939453
4,0.7175271511077881,0.7777161002159119,0.5886020660400391,0.1764705926179886,0.20140239596366882,3.685281276702881
5,0.717119574546814,0.7747228741645813,0.5866072773933411,0.17892156541347504,0.20477700233459473,3.730717658996582
6,0.73097825050354,0.7981187105178833,0.5674315690994263,0.1764705926179886,0.20044273138046265,3.27091383934021
7,0.739402174949646,0.8028519153594971,0.5630761981010437,0.1764705926179886,0.1931483894586563,3.719958782196045
8,0.7476902008056641,0.8096875548362732,0.5597668886184692,0.17892156541347504,0.19213160872459412,4.111401081085205
9,0.733831524848938,0.7981231808662415,0.5586510300636292,0.1776960790157318,0.1982380747795105,3.929267406463623
10,0.747826099395752,0.808373212814331,0.5592373609542847,0.1764705926179886,0.1832723468542099,4.868208408355713
11,0.750543475151062,0.8159640431404114,0.5406231880187988,0.1776960790157318,0.20159463584423065,4.07230281829834
12,0.7504076361656189,0.8235552310943604,0.5373308062553406,0.1764705926179886,0.18784841895103455,5.147254467010498
13,0.760597825050354,0.8290812373161316,0.5325767397880554,0.1764705926179886,0.18934574723243713,4.568528652191162
14,0.7479619383811951,0.8231563568115234,0.5328039526939392,0.1776960790157318,0.1842080056667328,4.919605731964111
