epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7487272024154663,0.8478372693061829,0.46567127108573914,0.5685977339744568,0.5867576003074646,3.071169137954712
1,0.7720943093299866,0.8729371428489685,0.42935261130332947,0.5702350735664368,0.5793036222457886,3.341076135635376
2,0.778876006603241,0.8796022534370422,0.41894567012786865,0.5709244012832642,0.6027863025665283,2.5200023651123047
3,0.7829027771949768,0.883746862411499,0.4123324751853943,0.573981523513794,0.6157315969467163,2.7169952392578125
4,0.7860502004623413,0.8866469860076904,0.407432496547699,0.569648265838623,0.5798975229263306,3.835247278213501
5,0.787966251373291,0.888755202293396,0.40378281474113464,0.5709244012832642,0.5767043232917786,4.452545166015625
6,0.7898536324501038,0.8903959393501282,0.40093788504600525,0.5681053400039673,0.5760987401008606,3.8805088996887207
7,0.7910899519920349,0.8917059302330017,0.3987390100955963,0.5751386880874634,0.6019856929779053,3.0884504318237305
8,0.7953980565071106,0.8958041667938232,0.3913666903972626,0.5767513513565063,0.5889887809753418,3.7805728912353516
9,0.7962387204170227,0.8965976238250732,0.38993847370147705,0.5683884620666504,0.5761987566947937,5.497605800628662
10,0.7969484925270081,0.8972196578979492,0.38881903886795044,0.5697836875915527,0.580663800239563,4.296882629394531
11,0.7971527576446533,0.8976160883903503,0.3880375325679779,0.5707603096961975,0.5754322409629822,5.157829761505127
12,0.7980330586433411,0.8981761932373047,0.3871408700942993,0.5706658959388733,0.5761814713478088,5.24448299407959
13,0.8000261783599854,0.9002075791358948,0.383342981338501,0.5719338655471802,0.5786446928977966,5.549530029296875
14,0.8005372285842896,0.9005646109580994,0.38264167308807373,0.5732264518737793,0.5817180871963501,4.716416358947754
