epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.7574172019958496,0.8605291843414307,0.44770264625549316,0.8129636645317078,0.9089114665985107,0.3733249306678772
1,0.813274085521698,0.9093877077102661,0.37005048990249634,0.8234604001045227,0.9181221127510071,0.35565391182899475
2,0.8228467106819153,0.9178359508514404,0.3530372381210327,0.8217779397964478,0.9177982211112976,0.3553108274936676
3,0.8290070295333862,0.9226557016372681,0.34323325753211975,0.8310353755950928,0.9245452284812927,0.3419724404811859
4,0.8322857022285461,0.9253427982330322,0.3374708294868469,0.8312405347824097,0.9248705506324768,0.34128066897392273
5,0.833966076374054,0.9268498420715332,0.3341543674468994,0.8315852284431458,0.9248268604278564,0.3440656363964081
6,0.8353415131568909,0.9279567003250122,0.3318654000759125,0.8340637683868408,0.9268509745597839,0.33641859889030457
7,0.8353328108787537,0.9278712868690491,0.33195531368255615,0.8292462825775146,0.9231473803520203,0.34491679072380066
8,0.8352403044700623,0.9275302290916443,0.33299753069877625,0.8349213600158691,0.9276912212371826,0.3355320394039154
9,0.8442544341087341,0.9351412057876587,0.3152301013469696,0.838918149471283,0.9312248229980469,0.32766252756118774
10,0.8492773175239563,0.9387129545211792,0.3067646920681,0.8363699316978455,0.9289974570274353,0.33522459864616394
11,0.8530976176261902,0.9415839910507202,0.29977402091026306,0.8404898047447205,0.9320129752159119,0.32607319951057434
12,0.8572425246238708,0.9444904923439026,0.2928689420223236,0.8399563431739807,0.9316653609275818,0.3327924311161041
13,0.860663890838623,0.9468695521354675,0.2881629467010498,0.8406128883361816,0.9311167001724243,0.3397854268550873
14,0.8634424805641174,0.9486714005470276,0.6071716547012329,0.8379702568054199,0.9291990995407104,0.3430573344230652
